Database,Publisher,User_Activity,2013 S2 (Summer),2013 S3 (Fall),2014 S1 (Spring),2014 S2 (Summer),2014 S3 (Fall),2015 S1 (Spring),2015 S2 (Summer),2015 S3 (Fall),2016 S1 (Spring),2016 S2 (Summer),2016 S3 (Fall),2017 S1 (Spring)
MEDLINE Complete,EBSCO,Regular Searches,NA,NA,NA,NA,NA,NA,NA,NA,0,293,4353,3712
MEDLINE Complete,EBSCO,Result Clicks,NA,NA,NA,NA,NA,NA,NA,NA,0,168,4108,3276
MEDLINE Complete,EBSCO,Searches-federated and automated,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
MEDLINE with Full Text,EBSCO,Record Views,NA,NA,NA,NA,NA,0,57,2255,3030,711,273,0
MEDLINE with Full Text,EBSCO,Regular Searches,NA,NA,NA,NA,NA,0,105,3846,5416,1180,371,0
MEDLINE with Full Text,EBSCO,Result Clicks,NA,NA,NA,NA,NA,0,158,4228,5586,1467,508,0
MEDLINE with Full Text,EBSCO,Searches-federated and automated,NA,NA,NA,NA,NA,0,1162,22724,18885,9907,5318,0
Mergent Annual Reports Collection,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,0,0,1,0
Mergent Annual Reports Collection,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,0,0,0,0
Mergent Annual Reports Collection,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,0,0,3,0
Mergent Annual Reports Collection,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,1121,1029,3071,2087,1032,3507,169
Mergent Online,EBSCO,Record Views,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Mergent Online,EBSCO,Regular Searches,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Mergent Online,EBSCO,Result Clicks,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Mergent Online,EBSCO,Searches-federated and automated,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1064
Military & Government Collection,EBSCO,Record Views,0,21,7,4,12,6,0,6,8,0,1,0
Military & Government Collection,EBSCO,Regular Searches,293,1091,607,347,1038,1569,193,918,952,501,720,375
Military & Government Collection,EBSCO,Result Clicks,0,48,12,7,17,14,0,14,16,0,2,0
Military & Government Collection,EBSCO,Searches-federated and automated,39,0,3,0,80,1149,1048,3136,2121,1057,3573,1239
Minority Health Archive,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Minority Health Archive,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Minority Health Archive,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Minority Health Archive,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
Mintel Oxygen Reports,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Mintel Oxygen Reports,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Mintel Oxygen Reports,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Mintel Oxygen Reports,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
MLA Directory of Periodicals,EBSCO,Record Views,0,0,0,0,1,0,0,1,1,0,0,0
MLA Directory of Periodicals,EBSCO,Regular Searches,295,1035,645,374,957,1525,193,926,945,496,745,401
MLA Directory of Periodicals,EBSCO,Result Clicks,0,0,0,0,2,0,0,2,2,0,0,0
MLA Directory of Periodicals,EBSCO,Searches-federated and automated,39,0,3,0,80,1121,4863,22369,18626,9797,24441,15585
MLA International Bibliography,EBSCO,Record Views,41,303,85,19,356,54,34,488,158,204,214,103
MLA International Bibliography,EBSCO,Regular Searches,531,1610,820,451,1606,1696,214,1432,1055,609,817,479
MLA International Bibliography,EBSCO,Result Clicks,76,456,159,29,521,95,71,804,303,346,341,189
MLA International Bibliography,EBSCO,Searches-federated and automated,39,0,3,0,80,1123,4876,22475,18687,9852,24589,15661
