Database,Publisher,User_Activity,2013,2014,2015,2016,2017
AccessMedicine,EBSCO,Regular Searches,NA,0,0,NA,NA
AccessMedicine,EBSCO,Result Clicks,NA,0,0,NA,NA
AccessMedicine,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
AccessPediatrics,EBSCO,Record Views,NA,0,0,NA,NA
AccessPediatrics,EBSCO,Regular Searches,NA,0,0,NA,NA
AccessPediatrics,EBSCO,Result Clicks,NA,0,0,NA,NA
AccessPediatrics,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
AccessPharmacy,EBSCO,Record Views,NA,0,0,NA,NA
AccessPharmacy,EBSCO,Regular Searches,NA,0,0,NA,NA
AccessPharmacy,EBSCO,Result Clicks,NA,0,0,NA,NA
AccessPharmacy,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
AccessScience,EBSCO,Record Views,NA,0,0,NA,NA
AccessScience,EBSCO,Regular Searches,NA,0,0,NA,NA
AccessScience,EBSCO,Result Clicks,NA,0,0,NA,NA
AccessScience,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
AccessSurgery,EBSCO,Record Views,NA,0,0,NA,NA
AccessSurgery,EBSCO,Regular Searches,NA,0,0,NA,NA
AccessSurgery,EBSCO,Result Clicks,NA,0,0,NA,NA
AccessSurgery,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
ACLS Humanities E-Book,EBSCO,Record Views,NA,0,2,10,0
ACLS Humanities E-Book,EBSCO,Regular Searches,NA,0,0,0,0
ACLS Humanities E-Book,EBSCO,Result Clicks,NA,0,7,15,1
ACLS Humanities E-Book,EBSCO,Searches-federated and automated,NA,80,5256,6687,1249
Adam Matthew Digital,EBSCO,Record Views,NA,0,0,NA,NA
Adam Matthew Digital,EBSCO,Regular Searches,NA,0,0,NA,NA
Adam Matthew Digital,EBSCO,Result Clicks,NA,0,0,NA,NA
Adam Matthew Digital,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
African American Music Reference,Alexander Street Press,Record Views,0,0,6,27,NA
African American Music Reference,Alexander Street Press,Regular Searches,0,8,78,84,NA
African American Music Reference,Alexander Street Press,Result Clicks,0,0,5,7,NA
African American Music Reference,Alexander Street Press,Searches-federated and automated,0,0,0,0,NA
AGRIS,EBSCO,Record Views,NA,0,0,NA,NA
AGRIS,EBSCO,Regular Searches,NA,0,0,NA,NA
AGRIS,EBSCO,Result Clicks,NA,0,0,NA,NA
AGRIS,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
AHFS Consumer Medication Information,EBSCO,Record Views,0,0,18,1,17
AHFS Consumer Medication Information,EBSCO,Regular Searches,1261,1948,2712,2183,443
AHFS Consumer Medication Information,EBSCO,Result Clicks,0,0,18,1,17
AHFS Consumer Medication Information,EBSCO,Searches-federated and automated,39,3,0,4,0
Airiti Library eBooks & Journals - 華藝線上圖書館,EBSCO,Record Views,NA,0,0,NA,NA
Airiti Library eBooks & Journals - 華藝線上圖書館,EBSCO,Regular Searches,NA,0,0,NA,NA
Airiti Library eBooks & Journals - 華藝線上圖書館,EBSCO,Result Clicks,NA,0,0,NA,NA
Airiti Library eBooks & Journals - 華藝線上圖書館,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
Alexander Street Press,EBSCO,Record Views,NA,0,11,57,3
Alexander Street Press,EBSCO,Regular Searches,NA,0,0,0,0
Alexander Street Press,EBSCO,Result Clicks,NA,1,22,81,2
Alexander Street Press,EBSCO,Searches-federated and automated,NA,80,5235,6637,1238
American Doctoral Dissertations,EBSCO,Record Views,NA,NA,3,4,0
American Doctoral Dissertations,EBSCO,Regular Searches,NA,NA,2650,2129,382
American Doctoral Dissertations,EBSCO,Result Clicks,NA,NA,8,8,0
American Doctoral Dissertations,EBSCO,Searches-federated and automated,NA,NA,5150,6631,1233
"American Doctoral Dissertations, 1933 - 1955",EBSCO,Record Views,NA,7,NA,NA,NA
"American Doctoral Dissertations, 1933 - 1955",EBSCO,Regular Searches,NA,572,NA,NA,NA
"American Doctoral Dissertations, 1933 - 1955",EBSCO,Result Clicks,NA,11,NA,NA,NA
"American Doctoral Dissertations, 1933 - 1955",EBSCO,Searches-federated and automated,NA,0,NA,NA,NA
American National Biography Online,EBSCO,Record Views,NA,0,0,NA,NA
American National Biography Online,EBSCO,Regular Searches,NA,0,0,NA,NA
American National Biography Online,EBSCO,Result Clicks,NA,0,0,NA,NA
American National Biography Online,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Anatomy & Physiology Online,Primal Pictures,Record Views,NA,0,0,0,NA
Anatomy & Physiology Online,Primal Pictures,Regular Searches,NA,0,0,0,NA
Anatomy & Physiology Online,Primal Pictures,Result Clicks,NA,0,0,0,NA
Anatomy & Physiology Online,Primal Pictures,Searches-federated and automated,NA,0,0,0,NA
Aphasiology Archive,EBSCO,Record Views,NA,0,0,NA,NA
Aphasiology Archive,EBSCO,Regular Searches,NA,0,0,NA,NA
Aphasiology Archive,EBSCO,Result Clicks,NA,0,0,NA,NA
Aphasiology Archive,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Archive of European Integration,EBSCO,Record Views,NA,0,0,NA,NA
Archive of European Integration,EBSCO,Regular Searches,NA,0,0,NA,NA
Archive of European Integration,EBSCO,Result Clicks,NA,0,0,NA,NA
Archive of European Integration,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
arXiv,EBSCO,Record Views,NA,0,0,5,0
arXiv,EBSCO,Regular Searches,NA,0,0,0,0
arXiv,EBSCO,Result Clicks,NA,0,0,10,0
arXiv,EBSCO,Searches-federated and automated,NA,80,5220,6622,1232
ATLA Religion Database with ATLASerials,EBSCO,Record Views,8325,11446,9919,12146,2221
ATLA Religion Database with ATLASerials,EBSCO,Regular Searches,12895,19861,15393,16793,2297
ATLA Religion Database with ATLASerials,EBSCO,Result Clicks,15656,23564,19536,23742,4528
ATLA Religion Database with ATLASerials,EBSCO,Searches-federated and automated,40,83,28669,53449,15726
"ATLASerials, Religion Collection",EBSCO,Record Views,1019,1321,1255,1258,582
"ATLASerials, Religion Collection",EBSCO,Regular Searches,2315,2689,4045,4044,1002
"ATLASerials, Religion Collection",EBSCO,Result Clicks,2407,3455,2663,2743,1209
"ATLASerials, Religion Collection",EBSCO,Searches-federated and automated,44,80,5277,6735,1237
Audiobook Collection (EBSCOhost),EBSCO,Record Views,0,0,0,0,0
Audiobook Collection (EBSCOhost),EBSCO,Regular Searches,0,1722,2793,2317,397
Audiobook Collection (EBSCOhost),EBSCO,Result Clicks,0,0,0,0,0
Audiobook Collection (EBSCOhost),EBSCO,Searches-federated and automated,0,80,5219,6629,1233
BiblioBoard,EBSCO,Record Views,NA,0,0,NA,NA
BiblioBoard,EBSCO,Regular Searches,NA,0,0,NA,NA
BiblioBoard,EBSCO,Result Clicks,NA,0,0,NA,NA
BiblioBoard,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Bibliotheksverbund Bayern,EBSCO,Record Views,NA,1,0,NA,NA
Bibliotheksverbund Bayern,EBSCO,Regular Searches,NA,0,0,NA,NA
