Database,Publisher,Platform,Notes,Fund,Ordering_Site,Ordering_Cycle,2013,2014,2015,2016,2017
HeinOnline,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Henry Stewart Talks,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
History Reference Center,EBSCO,EBSCOhost,,,,Fiscal Year,,,NA,NA,NA
Hoover's Company Profiles,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
HyRead Journal,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Ibuk.pl,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
IndianJournals.com,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Industry Studies Working Papers,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Informit Business Collection,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Informit Engineering Collection,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Informit Health Collection,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Informit Humanities & Social Sciences Collection,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Informit Indigenous Collection,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Informit Literature & Culture Collection,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
InfoTrac Computer Database,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
InfoTrac Health Reference Center Academic,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
InfoTrac Informe!,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
InfoTrac Junior Edition,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
InfoTrac LegalTrac,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
InfoTrac Newsstand,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
InfoTrac Student Edition,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
J-STAGE,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
"Jane's Chemical, Biological, Radiological & Nuclear Assessments (JCBRN) - Intelligence Centre",EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Jane's Defence Equipment & Technology (JDET) - Air & Space,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Jane's Defence Equipment & Technology (JDET) - C4ISR & Mission Systems,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Jane's Defence Equipment & Technology (JDET) - News,EBSCO,EBSCOhost,,,,Fiscal Year,NA,NA,,NA,NA
Jane's Defence Equipment & Technology (JDET) – Land,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Jane's Defence Equipment & Technology (JDET) – News,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,NA,NA,NA
Jane's Defence Equipment & Technology (JDET) – Sea,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Jane's Defence Industry & Markets (JDIM) - Defense Industry,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Jane's Military & Security Assessments (JMSA) - Country Risk,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Jane's Military & Security Assessments (JMSA) - Military Capabilities,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Jane's Military & Security Assessments (JMSA) – News,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Jane’s Terrorism & Insurgency Centre (JTIC) - Terrorism Events,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Japanese Periodical Index - 雑誌記事索引,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
JoVE Science Education Database,EBSCO,EBSCOhost,,,,Fiscal Year,NA,NA,NA,,NA
JSTOR,NA,Ithaka,,,,Fiscal Year,NA,NA,,,NA
JSTOR 19th Century British Pamphlets,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,,
JSTOR Journals,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,,
Korean Studies Information Service System (KISS),EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
KyoboScholar,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Lan Publishing,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
LDBO consolidated build,EBSCO,EBSCOhost,,,,Fiscal Year,NA,NA,NA,,
LexisNexis Academic: Law Reviews,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,,
LexisNexis U.S. Serial Set Digital Collection,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
"Library, Information Science & Technology Abstracts",EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,,
Literary Reference Center,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
Literature Resource Center,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
LUNA Commons,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Manuscriptorium Digital Library,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Marquis Biographies Online,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Maruzen eBook Library,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
MAS Ultra - School Edition,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
MasterFILE Premier,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
Media Archive,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
MEDLINE,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
MEDLINE Complete,EBSCO,EBSCOhost,,,,Fiscal Year,NA,NA,NA,,
MEDLINE with Full Text,EBSCO,EBSCOhost,,,,Fiscal Year,NA,NA,,,
Mergent Annual Reports Collection,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,,
Mergent Online,EBSCO,EBSCOhost,,,,Fiscal Year,NA,NA,NA,,
Military & Government Collection,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
