Database,Publisher,Platform,Notes,Fund,Ordering_Site,Ordering_Cycle,2013,2014,2015,2016,2017
Health Technology Assessments,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
HeinOnline,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Henry Stewart Talks,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
History Reference Center,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,NA,NA,NA
Hoover's Company Profiles,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
HyRead Journal,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Ibuk.pl,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
IndianJournals.com,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Industry Studies Working Papers,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Informit Business Collection,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Informit Engineering Collection,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Informit Health Collection,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Informit Humanities & Social Sciences Collection,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Informit Indigenous Collection,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Informit Literature & Culture Collection,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
InfoTrac Computer Database,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
InfoTrac Health Reference Center Academic,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
InfoTrac Informe!,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
InfoTrac Junior Edition,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
InfoTrac LegalTrac,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
InfoTrac Newsstand,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
InfoTrac Student Edition,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
J-STAGE,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
"Jane's Chemical, Biological, Radiological & Nuclear Assessments (JCBRN) - Intelligence Centre",EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Jane's Defence Equipment & Technology (JDET) - Air & Space,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Jane's Defence Equipment & Technology (JDET) - C4ISR & Mission Systems,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Jane's Defence Equipment & Technology (JDET) - News,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,,NA,NA
Jane's Defence Equipment & Technology (JDET) – Land,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Jane's Defence Equipment & Technology (JDET) – News,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,NA,NA,NA
Jane's Defence Equipment & Technology (JDET) – Sea,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Jane's Defence Industry & Markets (JDIM) - Defense Industry,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Jane's Military & Security Assessments (JMSA) - Country Risk,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Jane's Military & Security Assessments (JMSA) - Military Capabilities,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Jane's Military & Security Assessments (JMSA) – News,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Jane’s Terrorism & Insurgency Centre (JTIC) - Terrorism Events,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Japanese Periodical Index - 雑誌記事索引,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
JoVE Science Education Database,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,NA,,NA
JSTOR,NA,Ithaka,,Core Database,,Fiscal Year,NA,NA,13414.44,12050,12050
JSTOR 19th Century British Pamphlets,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
JSTOR Journals,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
Korean Studies Information Service System (KISS),EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
KyoboScholar,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Lan Publishing,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
LDBO consolidated build,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,NA,,
LexisNexis Academic: Law Reviews,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
LexisNexis U.S. Serial Set Digital Collection,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
"Library, Information Science & Technology Abstracts",EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
Literary Reference Center,EBSCO,EBSCOhost,,Core Database,,Fiscal Year,,,6902,7178.08,7465.2
Literature Resource Center,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
LUNA Commons,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Manuscriptorium Digital Library,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Marquis Biographies Online,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Maruzen eBook Library,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
MAS Ultra - School Edition,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
MasterFILE Premier,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
Media Archive,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
MEDLINE,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
MEDLINE Complete,EBSCO,EBSCOhost,,Core Database,,Fiscal Year,NA,NA,NA,4519.86,9221.34
MEDLINE with Full Text,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,,,
Mergent Annual Reports Collection,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
Mergent Online,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,NA,,
Military & Government Collection,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
Minority Health Archive,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Mintel Oxygen Reports,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
MLA Directory of Periodicals,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
MLA International Bibliography,EBSCO,EBSCOhost,,Core Database,,Fiscal Year,,,4733.55,4970.23,5169.03
Music Online: Opera in Video,Alexander Street Press,Alexander Street Press Platform,,EDS Search,,Fiscal Year,NA,NA,NA,,NA
Music Online: The Garland Encyclopedia of World Music,Alexander Street Press,Alexander Street Press Platform,,EDS Search,,Fiscal Year,NA,NA,NA,,NA
Naxos Music Library,EBSCO,EBSCOhost,,Core Database,,Fiscal Year,NA,,1093.75,750,925
Naxos Music Library Jazz,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Naxos Spoken Word Library,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Naxos Video Library,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
NBC Learn Higher Ed,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
NBC Learn K-12,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
New Testament Abstracts,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
Newnonmun – 뉴논문,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
NewsBank,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
NewsBank - Archives,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Newspaper Source,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
Newswires,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
NHS Economic Evaluation Database,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
Nursing Education in Video,Alexander Street Press,Alexander Street Press Platform,,EDS Search,,Fiscal Year,,,,,NA
"Nursing Education in Video, 2013",Alexander Street Press,Alexander Street Press Platform,,EDS Search,,Fiscal Year,,,,,NA
Nursing Reference Center,EBSCO,EBSCOhost,,Core Database,,Fiscal Year,,,13696,7490,8014
OAIster,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
OAPEN Library,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Old Testament Abstracts,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
Opera in Video,Alexander Street Press,Alexander Street Press Platform,,EDS Search,,Fiscal Year,,,,,NA
Opposing Viewpoints in Context,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Ovid MEDLINE(R),U.S. National Library of Medicine,OvidSP,,EDS Search,,Fiscal Year,NA,,,,NA
Oxford's Who's Who & Who Was Who,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Oxford African American Studies Center,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Oxford Biblical Studies Online,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
Oxford Bibliographies,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Oxford Dictionary of National Biography,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Oxford Handbooks Online,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Oxford Islamic Studies Online,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Oxford Medicine Online,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Oxford Reference,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Oxford Scholarly Editions Online,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Oxford Scholarship Online,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Persée,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Philosopher's Index,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,NA,NA
Philosophers Index with Full Text,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
PhilSci Archive,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Primary Search,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
Professional Development Collection,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
Project MUSE,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
Project MUSE,Johns Hopkins University Press,Project MUSE,,Core Database,,Fiscal Year,NA,,11322,11700,6683.68
PsycARTICLES,EBSCO,EBSCOhost,,Core Database,,Fiscal Year,,,4294.95,4400,4664
PsycBOOKS,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
PsycCRITIQUES,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
PsycheVisual,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
PsycINFO,EBSCO,EBSCOhost,,Core Database,,Fiscal Year,,,3632.14,3740,3927
Public Information Online,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Publications New Zealand Metadata,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Publisher Provided Full Text Searching File,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
R2 Digital Library,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
